11-Dec-23 4:09:59 PM	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
11-Dec-23 4:10:00 PM	1C:28:AF:65:FE:00	""	"eduroam"	""	""	-84	33	"1"	"Ch 6 [2.437 GHz]"	""	"1 Station, 22% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:5C:09:72	""	"TUD-facility"	""	""	-84	33	"0"	"Ch 52 [5.260 GHz]"	""	"0 Stations, 5% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:ED:A2	""	"TUD-facility"	""	""	-84	33	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 43% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:5C:09:71	""	"tudelft-dastud"	""	""	-84	33	"0"	"Ch 52 [5.260 GHz]"	""	"0 Stations, 5% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:4F:C2	""	"TUD-facility"	""	""	-84	33	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 55% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:4F:C1	""	"tudelft-dastud"	""	""	-84	33	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 55% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:DD:E2	""	"TUD-facility"	""	""	-83	36	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 52% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:DD:E1	""	"tudelft-dastud"	""	""	-83	36	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 52% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:92:C2	""	"TUD-facility"	""	""	-83	36	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 61% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:65:FE:01	""	"tudelft-dastud"	""	""	-83	36	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 22% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	6C:B7:49:E9:C9:A9	""	"Honor 7X"	""	""	-83	36	"1"	"Ch 1 [2.412 GHz]"	""	"1 Station, 0% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:5C:09:60	""	"eduroam"	""	""	-83	36	"2"	"Ch 1 [2.412 GHz]"	""	"2 Stations, 76% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:61:21	""	"tudelft-dastud"	""	""	-83	36	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 30% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:8C:31	""	"tudelft-dastud"	""	""	-82	39	"0"	"Ch 100 [5.500 GHz]"	""	"0 Stations, 7% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:A8:41	""	"tudelft-dastud"	""	""	-82	39	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 18% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:8C:32	""	"TUD-facility"	""	""	-82	39	"0"	"Ch 100 [5.500 GHz]"	""	"0 Stations, 7% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:8C:30	""	"eduroam"	""	""	-82	39	"13"	"Ch 100 [5.500 GHz]"	""	"13 Stations, 7% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:B2:A1	""	"tudelft-dastud"	""	""	-82	39	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 18% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:4F:C0	""	"eduroam"	""	""	-81	42	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 55% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:B2:A2	""	"TUD-facility"	""	""	-81	42	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 18% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:ED:A0	""	"eduroam"	""	""	-80	45	"3"	"Ch 6 [2.437 GHz]"	""	"3 Stations, 31% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:65:FE:02	""	"TUD-facility"	""	""	-80	45	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 24% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:61:20	""	"eduroam"	""	""	-79	48	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 30% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:B2:A0	""	"eduroam"	""	""	-79	48	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 18% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:5B:E5:50	""	"eduroam"	""	""	-79	48	"5"	"Ch 44 [5.220 GHz]"	""	"5 Stations, 22% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:A8:42	""	"TUD-facility"	""	""	-78	51	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 18% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:A8:40	""	"eduroam"	""	""	-78	51	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 19% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:5C:09:62	""	"TUD-facility"	""	""	-78	51	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 76% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:5C:09:61	""	"tudelft-dastud"	""	""	-78	51	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 76% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:EC:92	""	"TUD-facility"	""	""	-78	51	"0"	"Ch 104 [5.520 GHz]"	""	"0 Stations, 4% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:EC:90	""	"eduroam"	""	""	-78	51	"18"	"Ch 104 [5.520 GHz]"	""	"18 Stations, 4% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:8C:22	""	"TUD-facility"	""	""	-77	54	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 45% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:8C:21	""	"tudelft-dastud"	""	""	-77	54	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 45% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:5B:FC:90	""	"eduroam"	""	""	-77	54	"2"	"Ch 52 [5.260 GHz]"	""	"2 Stations, 11% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:5B:E5:52	""	"TUD-facility"	""	""	-76	57	"0"	"Ch 44 [5.220 GHz]"	""	"0 Stations, 22% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:5B:E5:51	""	"tudelft-dastud"	""	""	-76	57	"0"	"Ch 44 [5.220 GHz]"	""	"0 Stations, 22% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:8C:20	""	"eduroam"	""	""	-75	60	"1"	"Ch 1 [2.412 GHz]"	""	"1 Station, 45% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:EC:80	""	"eduroam"	""	""	-75	60	"1"	"Ch 6 [2.437 GHz]"	""	"1 Station, 45% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:B2:B1	""	"tudelft-dastud"	""	""	-74	63	"0"	"Ch 104 [5.520 GHz]"	""	"0 Stations, 2% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:5B:E5:40	""	"eduroam"	""	""	-73	66	"1"	"Ch 11 [2.462 GHz]"	""	"1 Station, 25% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:B2:B2	""	"TUD-facility"	""	""	-73	66	"0"	"Ch 104 [5.520 GHz]"	""	"0 Stations, 2% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:B2:B0	""	"eduroam"	""	""	-73	66	"2"	"Ch 104 [5.520 GHz]"	""	"2 Stations, 2% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:EC:81	""	"tudelft-dastud"	""	""	-73	66	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 45% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:5B:FC:80	""	"eduroam"	""	""	-73	66	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 20% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:5B:E5:42	""	"TUD-facility"	""	""	-72	69	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 25% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:5B:E5:41	""	"tudelft-dastud"	""	""	-72	69	"1"	"Ch 11 [2.462 GHz]"	""	"1 Station, 25% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:5B:FC:81	""	"tudelft-dastud"	""	""	-72	69	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 20% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:5B:FC:82	""	"TUD-facility"	""	""	-72	69	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 20% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:EC:82	""	"TUD-facility"	""	""	-71	72	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 45% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:EC:91	""	"tudelft-dastud"	""	""	-71	72	"0"	"Ch 104 [5.520 GHz]"	""	"0 Stations, 4% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:9D:F2	""	"TUD-facility"	""	""	-71	72	"0"	"Ch 108 [5.540 GHz]"	""	"0 Stations, 7% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:5B:FC:92	""	"TUD-facility"	""	""	-71	72	"0"	"Ch 52 [5.260 GHz]"	""	"0 Stations, 11% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:9D:F1	""	"tudelft-dastud"	""	""	-71	72	"0"	"Ch 108 [5.540 GHz]"	""	"0 Stations, 7% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:5B:FC:91	""	"tudelft-dastud"	""	""	-71	72	"0"	"Ch 52 [5.260 GHz]"	""	"0 Stations, 11% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:9D:F0	""	"eduroam"	""	""	-69	76	"5"	"Ch 108 [5.540 GHz]"	""	"5 Stations, 7% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:9D:E1	""	"tudelft-dastud"	""	""	-69	76	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 24% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:9D:E2	""	"TUD-facility"	""	""	-68	76	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 24% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:9D:E0	""	"eduroam"	""	""	-66	77	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 24% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:62:01:C0	""	"eduroam"	""	""	-58	80	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 18% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:62:01:C1	""	"tudelft-dastud"	""	""	-57	80	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 18% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:62:01:C2	""	"TUD-facility"	""	""	-57	80	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 18% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:62:01:D2	""	"TUD-facility"	""	""	-56	80	"0"	"Ch 36 [5.180 GHz]"	""	"0 Stations, 5% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:62:01:D1	""	"tudelft-dastud"	""	""	-55	81	"0"	"Ch 36 [5.180 GHz]"	""	"0 Stations, 6% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	1C:28:AF:62:01:D0	""	"eduroam"	""	"Connected AP"	-55	81	"4"	"Ch 36 [5.180 GHz]"	""	"4 Stations, 5% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:00 PM	D0:4D:C6:F2:DD:E0	""	"eduroam"	""	""	-83	36	"2"	"Ch 11 [2.462 GHz]"	""	"2 Stations, 52% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:06 PM	D0:4D:C6:F2:61:31	""	"tudelft-dastud"	""	""	-95	5	"0"	"Ch 136 [5.680 GHz]"	""	"0 Stations, 4% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:06 PM	D0:4D:C6:F2:50:10	""	"eduroam"	""	""	-95	5	"16"	"Ch 36 [5.180 GHz]"	""	"16 Stations, 12% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:06 PM	D0:4D:C6:F2:ED:B1	""	"tudelft-dastud"	""	""	-92	9	"0"	"Ch 136 [5.680 GHz]"	""	"0 Stations, 15% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:06 PM	D0:4D:C6:F2:ED:B2	""	"TUD-facility"	""	""	-92	9	"0"	"Ch 136 [5.680 GHz]"	""	"0 Stations, 15% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:06 PM	D0:4D:C6:F2:C8:71	""	"tudelft-dastud"	""	""	-92	9	"0"	"Ch 48 [5.240 GHz]"	""	"0 Stations, 21% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:06 PM	1C:28:AF:62:11:F0	""	"eduroam"	""	""	-92	9	"6"	"Ch 44 [5.220 GHz]"	""	"6 Stations, 7% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 4:10:06 PM	1C:28:AF:62:11:F1	""	"tudelft-dastud"	""	""	-92	9	"0"	"Ch 44 [5.220 GHz]"	""	"0 Stations, 7% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
